id;ip_address;mac_address;os;device_type;status;last_update;owner
1;Central;panel Group;metrics Litas;ELUMATOR;Online;2021-12-17T21:55:22;invoice
2;Connecticut;seize Representative up;mobile Games grey;COMPUTER;Offline;2021-12-17T23:52:08;hacking Consultant
3;Gloves Group Tasty;Toys;generating Handmade back-end;MOBILE;Offline;2021-12-17T15:09:30;magenta
4;bus Personal;hacking parse;solutions Point e-business;TABLET;Online;2021-12-18T01:04:23;Checking
5;Yen Rubber;Ergonomic;Throughway Underpass Avon;VMW;Online;2021-12-17T11:29:11;Cambridgeshire synthesize Soft
6;Awesome Frozen Handmade;firewall;feed West Interactions;VPS;Online;2021-12-17T21:32:43;gold
7;programming interface Bacon;Herzegovina Car;Cross-group synthesize Buckinghamshire;ELUMATOR;Offline;2021-12-17T02:04:46;Small Buckinghamshire Faroe
8;B2B Chair reboot;index;matrix navigating;ELUMATOR;Online;2021-12-17T15:40:59;plug-and-play wireless
9;Locks Borders Fundamental;incubate deposit;clear-thinking;MOBILE;Online;2021-12-17T13:38:14;alarm Center logistical
10;challenge Fantastic;Awesome;Buckinghamshire;VMW;Offline;2021-12-17T02:32:59;Metal
