id;name;url;id_on_fb;type
1;payment Sleek multi-state;https://carter.name;FTP;People
2;UIC-Franc;http://hunter.biz;Riel Rubber Strategist;People
3;Refined actuating primary;http://enola.biz;Auto 24/365 Guinea;Location
4;Concrete Interface SDD;https://lea.org;copy PNG;Page
5;Auto;https://kaleb.name;state parse;Location
6;human-resource;https://garnett.org;real-time;Group
7;Market synthesize;http://aliyah.net;National back-end one-to-one;Page
8;Towels seize;https://lavinia.info;Senior wireless;People
9;alarm Bedfordshire;http://stevie.com;Sausages synthesizing input;People
10;JSON;http://etha.com;Music;Location
