id;status;log_detail;log_detail_content_type;last_update
1;EXE;../fake-data/blob/hipster.png;image/png;2021-12-17T14:26:10
2;open-source Shoes flexibility;../fake-data/blob/hipster.png;image/png;2021-12-17T15:57:51
3;Focused Accounts payment;../fake-data/blob/hipster.png;image/png;2021-12-17T16:46:55
4;Games Tuna;../fake-data/blob/hipster.png;image/png;2021-12-17T21:39:41
5;Implementation program index;../fake-data/blob/hipster.png;image/png;2021-12-17T04:32:57
6;Pizza programming;../fake-data/blob/hipster.png;image/png;2021-12-17T03:29:08
7;supply-chains;../fake-data/blob/hipster.png;image/png;2021-12-17T05:57:36
8;Markets;../fake-data/blob/hipster.png;image/png;2021-12-17T03:26:38
9;Buckinghamshire Steel cross-platform;../fake-data/blob/hipster.png;image/png;2021-12-17T04:24:33
10;Internal;../fake-data/blob/hipster.png;image/png;2021-12-17T17:07:07
