id;url_original;content_text;post_time;number_like;number_comment
1;Home User-friendly;Viaduct;2021-12-17T09:54:50;219;36121
2;Jewelery Granite multi-byte;Buckinghamshire HDD cross-platform;2021-12-17T19:56:04;46693;51562
3;Universal Bahamas;Grocery Garden Awesome;2021-12-17T19:32:35;31505;90354
4;incremental Intelligent;Samoa Account;2021-12-17T13:31:15;10697;43132
5;Product content-based;value-added;2021-12-17T02:54:08;9203;85039
6;generate;Rubber FTP;2021-12-17T15:25:54;72861;39474
7;Account;Hryvnia Rhode pixel;2021-12-17T12:40:55;64800;7678
8;Accounts 1080p black;index;2021-12-17T18:57:44;19754;45796
9;Clothing;Chips RSS;2021-12-18T01:05:15;33058;20307
10;innovative mobile Guinea-Bissau;homogeneous XSS e-services;2021-12-17T12:38:54;38254;99345
