id;start_time;end_time;count_from;count_to;point;last_update;owner;status
1;2021-12-17T17:34:47;2021-12-17T12:28:40;5261;80303;93377;2021-12-17T22:54:08;input Austria;Open
2;2021-12-17T12:58:58;2021-12-17T06:35:26;9950;74273;65275;2021-12-17T05:39:55;application Branding;Completed
3;2021-12-17T15:26:08;2021-12-17T06:14:39;41335;29548;9592;2021-12-17T19:31:25;THX customized;Inprogess
4;2021-12-17T23:52:23;2021-12-17T17:07:58;29594;77768;21210;2021-12-17T22:48:14;Money;Inprogess
5;2021-12-17T18:20:51;2021-12-17T17:26:57;17362;4487;61368;2021-12-17T09:40:48;Outdoors;Open
6;2021-12-17T21:30:34;2021-12-17T19:53:04;83372;17502;2000;2021-12-17T16:37:16;system;Completed
7;2021-12-17T04:45:14;2021-12-17T23:31:12;25495;40261;47403;2021-12-17T19:24:16;Metrics;Inprogess
8;2021-12-17T04:50:31;2021-12-17T13:04:51;53796;3972;27906;2021-12-17T05:19:50;Soap Soft aggregate;Inprogess
9;2021-12-17T15:08:57;2021-12-18T00:09:00;67417;50116;27954;2021-12-17T08:46:26;Cheese;Inprogess
10;2021-12-17T10:45:36;2021-12-17T02:05:17;66007;32243;29634;2021-12-17T23:38:53;cutting-edge S);Open
